"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"218",34662,"Stoke Bardolph Net",153534,2018-10-03,681599,153,"Dace","Leuciscus leuciscus",904727,1,197800,,,96,,""
"219",39786,"Sawley Weir Net",153579,2018-10-04,681767,153,"Dace","Leuciscus leuciscus",904911,1,197974,,,799,,""
"220",41974,"Farndon Net",153632,2018-10-09,682117,194,"Roach","Rutilus rutilus",905401,1,198159,,,2,,""
"221",39787,"Muskham Bridge Net",153642,2018-10-09,682172,152,"Chub","Leuciscus cephalus",905499,1,198170,,,616,,""
"222",39787,"Muskham Bridge Net",153642,2018-10-09,682175,194,"Roach","Rutilus rutilus",905502,1,198171,,,817,,""
"223",39787,"Muskham Bridge Net",153642,2018-10-09,682176,193,"Gudgeon","Gobio gobio",905503,1,198172,,,298,,""
"224",39787,"Muskham Bridge Net",153642,2018-10-09,682177,181,"Bleak","Alburnus alburnus",905504,1,198173,,,179,,""
"225",39787,"Muskham Bridge Net",153642,2018-10-09,682178,284,"Minnow","Phoxinus phoxinus",905505,1,198174,,,552,,""
"226",41973,"Kneeton Net",153698,2018-10-11,682412,153,"Dace","Leuciscus leuciscus",905800,1,198437,,,324,,""
"227",41973,"Kneeton Net",153698,2018-10-11,682416,193,"Gudgeon","Gobio gobio",905804,1,198438,,,40,,""
"228",56105,"Holme Net",153703,2018-10-11,682444,153,"Dace","Leuciscus leuciscus",905856,1,198446,,,56,,""
"229",3651,"Royal Avenue",154421,2019-04-17,687653,284,"Minnow","Phoxinus phoxinus",912622,1,199287,,,41,,""
"230",3651,"Royal Avenue",154421,2019-04-17,687655,283,"Bullhead","Cottus gobio",912624,1,199288,,,11,,""
"231",3651,"Royal Avenue",154421,2019-04-17,687656,286,"Stone loach","Barbatula barbatula",912625,1,199289,,,54,,""
"232",3651,"Royal Avenue",154421,2019-04-17,687657,242,"European eels > elvers","Anguilla anguilla",912626,1,199290,,,1,,""
"233",37787,"Girton",154509,2019-05-22,688524,283,"Bullhead","Cottus gobio",914053,1,199397,,,1,,""
"234",37787,"Girton",154509,2019-05-22,688524,283,"Bullhead","Cottus gobio",914054,2,199398,,,2,,""
